collapsed tile_type_id: 2646829784905817334 on position: GridPosition2D { x: 25, y: 6 }
collapsed tile_type_id: 18085059663485929628 on position: GridPosition2D { x: 26, y: 6 }
collapsed tile_type_id: 5779288959987128508 on position: GridPosition2D { x: 19, y: 8 }
collapsed tile_type_id: 16496312637744467814 on position: GridPosition2D { x: 19, y: 9 }
collapsed tile_type_id: 18441512323311480472 on position: GridPosition2D { x: 20, y: 9 }
collapsed tile_type_id: 18085059663485929628 on position: GridPosition2D { x: 18, y: 8 }
collapsed tile_type_id: 13540451260550003239 on position: GridPosition2D { x: 19, y: 7 }
collapsed tile_type_id: 4706942943500762392 on position: GridPosition2D { x: 17, y: 8 }
collapsed tile_type_id: 13540451260550003239 on position: GridPosition2D { x: 17, y: 7 }
collapsed tile_type_id: 18085059663485929628 on position: GridPosition2D { x: 16, y: 8 }
collapsed tile_type_id: 13540451260550003239 on position: GridPosition2D { x: 19, y: 6 }
collapsed tile_type_id: 13540451260550003239 on position: GridPosition2D { x: 17, y: 6 }
collapsed tile_type_id: 4371478779105055626 on position: GridPosition2D { x: 19, y: 5 }
collapsed tile_type_id: 13540451260550003239 on position: GridPosition2D { x: 17, y: 5 }
collapsed tile_type_id: 13540451260550003239 on position: GridPosition2D { x: 17, y: 4 }
collapsed tile_type_id: 18085059663485929628 on position: GridPosition2D { x: 15, y: 8 }
collapsed tile_type_id: 18085059663485929628 on position: GridPosition2D { x: 14, y: 8 }
collapsed tile_type_id: 5779288959987128508 on position: GridPosition2D { x: 13, y: 8 }
collapsed tile_type_id: 16496312637744467814 on position: GridPosition2D { x: 13, y: 9 }
collapsed tile_type_id: 18441512323311480472 on position: GridPosition2D { x: 14, y: 9 }
collapsed tile_type_id: 4462239098870014718 on position: GridPosition2D { x: 12, y: 8 }
collapsed tile_type_id: 4371478779105055626 on position: GridPosition2D { x: 13, y: 7 }
collapsed tile_type_id: 13540451260550003239 on position: GridPosition2D { x: 23, y: 5 }
collapsed tile_type_id: 4706942943500762392 on position: GridPosition2D { x: 27, y: 6 }
collapsed tile_type_id: 13540451260550003239 on position: GridPosition2D { x: 27, y: 5 }
collapsed tile_type_id: 18085059663485929628 on position: GridPosition2D { x: 28, y: 6 }
collapsed tile_type_id: 5779288959987128508 on position: GridPosition2D { x: 29, y: 6 }
collapsed tile_type_id: 4371478779105055626 on position: GridPosition2D { x: 29, y: 5 }
collapsed tile_type_id: 8293862762640881366 on position: GridPosition2D { x: 29, y: 7 }
collapsed tile_type_id: 13540451260550003239 on position: GridPosition2D { x: 27, y: 4 }
collapsed tile_type_id: 16496312637744467814 on position: GridPosition2D { x: 29, y: 8 }
